link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_SLPictures-271;Frederick III of Saxony;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-164;man;Christ;doctor;Virgin Mary;St Joseph;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-88;Virgin Mary;Christ;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-121;four horsemen of the Apocalypse;Hell;ruler;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-80;Christ;St Veronica;dog;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-115;angel;martyr;innocent;guilty;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-185;Nymph;infant;satyr;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-170;St Jerome;lion;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-5-6;man;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-3-91;Virgin;St Anne;Christ;woman;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-55;Erythraea (or Babylonica);;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-323;Judas Iscariot;Christ;soldier;St Peter;official;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-358;St Peter;St John the Evangelist;cripple;figure;woman;child;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1897-0103-10;Christ;St Joseph of Arimathaea;Virgin;St John the Evangelist;St Mary Magdalene;holy woman;Nicodemus;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-1b-139;Albert, Archduke of Austria;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-50;St Bartholomew;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_Z-1-162;female twins;;;;;;;;;;;;;;;;;;;;
